Year,Groups,Department of Legal Affairs Total No. of employees,Department of Legal Affairs Total  No. of female employees,Income Tax Appellate Tribunal (ITAT) Total No. of Employees,Income Tax Appellate Tribunal (ITAT) Total No. of female Employees
2014,Group A,96,16,97,06
2014,Group B,248,99,171,25
2014,Group C,133,15,207,79
2014,Group D,209,13,209,11
2014,Total,686,143,684,121
2013,GROUP A,103,16,107,05
2013,GROUP B,236,89,160,51
2013,GROUP C,131,16,212,66
2013,GROUP D,200,08,219,14
2013,TOTAL,670,129,698,136
